Transaction ID,Date,Type,Category,Subcategory,Amount,Payment Mode,Account,Recurring,Necessity,Merchant,Budget Limit,Description,Tags,Year,Month,MonthName,Quarter,Weekday,Is_Outlier
TXN102496,2025-08-24,Expense,Food,Groceries,2549.44,Cash,Salary Account,No,Discretionary,Zomato,0.0,food transaction #2496,one-time,2025,8,Aug,Q3,Sunday,False
TXN100785,2024-12-22,Expense,Healthcare,Insurance Premium,5586.82,Unknown,Cash Wallet,No,Essential,Unknown Merchant,3000.0,Healthcare transaction #785,None,2024,12,Dec,Q4,Sunday,False
TXN100137,2025-12-23,Expense,Groceries,Groceries,201.08,Credit Card,Salary Account,No,Essential,Zomato,6000.0,Groceries transaction #137,None,2025,12,Dec,Q4,Tuesday,False
TXN100649,2025-04-26,Expense,Subscriptions,SaaS Tools,7961.85,Cash,Primary Savings,Yes,Discretionary,Apollo Pharmacy,1500.0,Subscriptions transaction #649,one-time,2025,4,Apr,Q2,Saturday,False
TXN102420,2024-08-16,Expense,Food,Dining Out,5955.47,Unknown,Salary Account,Yes,Discretionary,Zomato,8000.0,Food transaction #2420,reimbursable,2024,8,Aug,Q3,Friday,False
TXN100990,2025-05-23,Expense,Insurance,Health,2462.18,Credit Card,Primary Savings,Yes,Essential,Amazon,2000.0,Insurance transaction #990,None,2025,5,May,Q2,Friday,False
TXN100606,2025-02-09,Expense,Insurance,Vehicle,1189.77,Cash,Primary Savings,Yes,Essential,Unknown Merchant,2000.0,Insurance transaction #606,None,2025,2,Feb,Q1,Sunday,False
TXN100347,2024-10-25,Expense,Entertainment,Events,7180.17,Cash,Salary Account,No,Discretionary,Zomato,2500.0,Entertainment transaction #347,None,2024,10,Oct,Q4,Friday,False
TXN101200,2025-10-22,Expense,Transport,Cab,6701.08,Cash,Cash Wallet,No,Discretionary,Employer,4000.0,Transport transaction #1200,None,2025,10,Oct,Q4,Wednesday,False
TXN100286,2025-07-09,Expense,Healthcare,Pharmacy,1899.36,Credit Card,Primary Savings,No,Essential,Amazon,3000.0,Healthcare transaction #286,None,2025,7,Jul,Q3,Wednesday,False
TXN100263,2024-12-09,Expense,Utilities,Internet,5712.97,Net Banking,Primary Savings,No,Essential,Apollo Pharmacy,3000.0,Utilities transaction #263,reimbursable,2024,12,Dec,Q4,Monday,False
TXN101519,2025-01-25,Expense,Entertainment,Events,354.61,Unknown,Primary Savings,Yes,Discretionary,Netflix,2500.0,Entertainment transaction #1519,review,2025,1,Jan,Q1,Saturday,False
TXN101566,2025-11-01,Income,Freelance,General,70097.13,Bank Transfer,Salary Account,No,N/A,Employer,0.0,Freelance transaction #1566,review,2025,11,Nov,Q4,Saturday,False
TXN102262,2024-09-25,Expense,Education,Books,2338.3,Unknown,Salary Account,Yes,Discretionary,Swiggy,4000.0,Education transaction #2262,reimbursable,2024,9,Sep,Q3,Wednesday,False
TXN101967,2024-02-07,Expense,Healthcare,Pharmacy,1668.41,Net Banking,Cash Wallet,Yes,Essential,Uber,3000.0,Healthcare transaction #1967,review,2024,2,Feb,Q1,Wednesday,False
TXN101626,2024-06-28,Expense,Food,Snacks,6021.87,Net Banking,Credit Card A/C,No,Discretionary,Uber,0.0,food transaction #1626,None,2024,6,Jun,Q2,Friday,False
TXN101596,2024-04-30,Expense,Uncategorized,General,4668.75,UPI,Credit Card A/C,No,Discretionary,Amazon,0.0,Misc transaction #1596,None,2024,4,Apr,Q2,Tuesday,False
TXN102239,2025-03-03,Expense,Shopping,Home Goods,5996.52,UPI,Primary Savings,Yes,Discretionary,Netflix,5000.0,Shopping transaction #2239,None,2025,3,Mar,Q1,Monday,False
TXN102342,2025-11-13,Expense,Uncategorized,General,733.83,UPI,Credit Card A/C,No,Discretionary,BESCOM,0.0,Misc transaction #2342,None,2025,11,Nov,Q4,Thursday,False
TXN101994,2025-09-25,Expense,Transport,Cab,6379.91,Unknown,Primary Savings,Yes,Discretionary,Local Store,4000.0,Transport transaction #1994,reimbursable,2025,9,Sep,Q3,Thursday,False
TXN101075,2024-05-15,Expense,Shopping,Home Goods,2267.76,Net Banking,Credit Card A/C,No,Discretionary,BESCOM,5000.0,Shopping transaction #1075,None,2024,5,May,Q2,Wednesday,False
TXN100904,2025-09-03,Expense,Subscriptions,Memberships,1199.71,Unknown,Credit Card A/C,Yes,Discretionary,Amazon,1500.0,Subscriptions transaction #904,None,2025,9,Sep,Q3,Wednesday,False
TXN100018,2025-08-07,Expense,Transport,Cab,1563.76,UPI,Cash Wallet,No,Discretionary,Local Store,4000.0,Transport transaction #18,None,2025,8,Aug,Q3,Thursday,False
TXN101637,2025-05-07,Expense,Rent,Housing,6725.98,Unknown,Salary Account,Yes,Essential,Netflix,15000.0,Rent transaction #1637,None,2025,5,May,Q2,Wednesday,False
TXN100140,2025-07-21,Income,Bonus,General,23047.41,Bank Transfer,Salary Account,No,N/A,Local Store,0.0,Bonus transaction #140,None,2025,7,Jul,Q3,Monday,False
TXN101460,2025-06-01,Expense,Food,Groceries,2978.56,Net Banking,Salary Account,No,Discretionary,Uber,8000.0,Food transaction #1460,reimbursable,2025,6,Jun,Q2,Sunday,False
TXN101924,2025-12-06,Expense,Rent,Housing,4791.88,Debit Card,Primary Savings,Yes,Essential,Swiggy,15000.0,Rent transaction #1924,None,2025,12,Dec,Q4,Saturday,False
TXN102022,2024-04-02,Expense,Shopping,Home Goods,1822.3,UPI,Salary Account,Yes,Discretionary,Local Store,5000.0,Shopping transaction #2022,reimbursable,2024,4,Apr,Q2,Tuesday,False
TXN100184,2024-11-05,Expense,Groceries,Groceries,2908.44,Credit Card,Primary Savings,Yes,Essential,Apollo Pharmacy,6000.0,Groceries transaction #184,reimbursable,2024,11,Nov,Q4,Tuesday,False
TXN100062,2024-05-02,Expense,Uncategorized,General,1572.75,Unknown,Cash Wallet,No,Discretionary,Unknown Merchant,0.0,Misc transaction #62,reimbursable,2024,5,May,Q2,Thursday,False
TXN101335,2024-09-15,Income,Bonus,General,76918.02,Bank Transfer,Salary Account,No,N/A,Local Store,0.0,Bonus transaction #1335,None,2024,9,Sep,Q3,Sunday,False
TXN102326,2025-04-28,Income,Salary,General,64723.6,Bank Transfer,Salary Account,Yes,N/A,Employer,0.0,Salary transaction #2326,review,2025,4,Apr,Q2,Monday,False
TXN100426,2024-02-25,Income,Bonus,General,56678.8,Bank Transfer,Salary Account,No,N/A,Zomato,0.0,Bonus transaction #426,None,2024,2,Feb,Q1,Sunday,False
TXN101381,2024-04-20,Expense,Rent,Housing,2295.68,Debit Card,Credit Card A/C,Yes,Essential,Employer,15000.0,Rent transaction #1381,one-time,2024,4,Apr,Q2,Saturday,False
TXN101805,2024-06-09,Income,Salary,General,32374.62,Bank Transfer,Salary Account,Yes,N/A,Employer,0.0,Salary transaction #1805,None,2024,6,Jun,Q2,Sunday,False
TXN101950,2025-10-05,Income,Freelance,General,87074.31,Bank Transfer,Salary Account,No,N/A,Uber,0.0,Freelance transaction #1950,review,2025,10,Oct,Q4,Sunday,False
TXN102097,2024-05-02,Income,Bonus,General,22264.4,Bank Transfer,Salary Account,No,N/A,Apollo Pharmacy,0.0,Bonus transaction #2097,None,2024,5,May,Q2,Thursday,False
TXN102145,2025-04-05,Expense,Shopping,Electronics,5340.8,Net Banking,Cash Wallet,No,Discretionary,Uber,5000.0,Shopping transaction #2145,one-time,2025,4,Apr,Q2,Saturday,False
TXN100232,2024-12-04,Expense,Healthcare,Pharmacy,5056.59,Credit Card,Cash Wallet,No,Essential,Amazon,3000.0,Healthcare transaction #232,one-time,2024,12,Dec,Q4,Wednesday,False
TXN100916,2024-11-26,Expense,Food,Groceries,5049.71,Net Banking,Salary Account,Yes,Discretionary,Employer,0.0,food transaction #916,None,2024,11,Nov,Q4,Tuesday,False
TXN102203,2025-10-28,Expense,Food,Snacks,5602.0,Debit Card,Primary Savings,Yes,Discretionary,Zomato,0.0,food transaction #2203,None,2025,10,Oct,Q4,Tuesday,False
TXN102034,2024-05-14,Expense,Shopping,Clothing,7400.7,UPI,Credit Card A/C,No,Discretionary,Unknown Merchant,5000.0,Shopping transaction #2034,reimbursable,2024,5,May,Q2,Tuesday,False
TXN100112,2025-04-09,Expense,Entertainment,Streaming,6225.84,Net Banking,Primary Savings,Yes,Discretionary,Swiggy,2500.0,Entertainment transaction #112,review,2025,4,Apr,Q2,Wednesday,False
TXN101812,2025-08-04,Expense,Subscriptions,Streaming,6908.47,Cash,Salary Account,Yes,Discretionary,Local Store,1500.0,Subscriptions transaction #1812,reimbursable,2025,8,Aug,Q3,Monday,False
TXN100748,2025-07-10,Expense,Food,Dining Out,2805.73,Cash,Cash Wallet,Yes,Discretionary,Apollo Pharmacy,8000.0,Food transaction #748,None,2025,7,Jul,Q3,Thursday,False
TXN102069,2025-07-15,Expense,Entertainment,Events,6928.03,Cash,Cash Wallet,No,Discretionary,Apollo Pharmacy,2500.0,Entertainment transaction #2069,one-time,2025,7,Jul,Q3,Tuesday,False
TXN100886,2024-07-11,Expense,Insurance,Life,726.06,Net Banking,Primary Savings,Yes,Essential,Employer,2000.0,Insurance transaction #886,None,2024,7,Jul,Q3,Thursday,False
TXN102489,2025-07-04,Expense,Insurance,Vehicle,3279.98,Debit Card,Cash Wallet,Yes,Essential,Apollo Pharmacy,2000.0,Insurance transaction #2489,None,2025,7,Jul,Q3,Friday,False
TXN102005,2024-04-12,Expense,Food,Dining Out,6738.46,Net Banking,Cash Wallet,No,Discretionary,Employer,0.0,food transaction #2005,one-time,2024,4,Apr,Q2,Friday,False
TXN100418,2025-01-08,Expense,Utilities,Water,1092.56,Net Banking,Salary Account,Yes,Essential,Unknown Merchant,3000.0,Utilities transaction #418,one-time,2025,1,Jan,Q1,Wednesday,False
TXN101452,2025-02-20,Expense,Shopping,Home Goods,4488.19,Net Banking,Credit Card A/C,Yes,Discretionary,Employer,5000.0,Shopping transaction #1452,reimbursable,2025,2,Feb,Q1,Thursday,False
TXN100515,2024-12-16,Expense,Transport,Fuel,669.26,Unknown,Cash Wallet,Yes,Discretionary,Employer,4000.0,Transport transaction #515,None,2024,12,Dec,Q4,Monday,False
TXN101857,2024-08-02,Expense,Rent,Housing,5051.38,Cash,Credit Card A/C,Yes,Essential,Uber,15000.0,Rent transaction #1857,reimbursable,2024,8,Aug,Q3,Friday,False
TXN100079,2024-05-19,Expense,Utilities,Water,6312.35,Debit Card,Primary Savings,No,Essential,Unknown Merchant,3000.0,Utilities transaction #79,review,2024,5,May,Q2,Sunday,False
TXN102048,2025-03-25,Expense,Entertainment,Streaming,4267.49,Debit Card,Salary Account,No,Discretionary,Freelance Client,2500.0,Entertainment transaction #2048,review,2025,3,Mar,Q1,Tuesday,False
TXN100776,2025-06-17,Expense,Shopping,Home Goods,6016.88,Credit Card,Credit Card A/C,No,Discretionary,BESCOM,5000.0,Shopping transaction #776,review,2025,6,Jun,Q2,Tuesday,False
TXN100463,2025-12-02,Expense,Food,Groceries,3417.15,Debit Card,Salary Account,No,Discretionary,Uber,0.0,food transaction #463,None,2025,12,Dec,Q4,Tuesday,False
TXN101850,2025-01-09,Expense,Entertainment,Movies,6997.07,Unknown,Credit Card A/C,Yes,Discretionary,Apollo Pharmacy,2500.0,Entertainment transaction #1850,review,2025,1,Jan,Q1,Thursday,False
TXN102411,2024-05-25,Expense,Entertainment,Streaming,963.33,Credit Card,Cash Wallet,No,Discretionary,Apollo Pharmacy,2500.0,Entertainment transaction #2411,review,2024,5,May,Q2,Saturday,False
TXN101062,2025-11-11,Expense,Utilities,Internet,1964.14,Cash,Cash Wallet,No,Essential,Unknown Merchant,3000.0,Utilities transaction #1062,reimbursable,2025,11,Nov,Q4,Tuesday,False
TXN101560,2025-04-22,Expense,Rent,Housing,6182.45,Unknown,Primary Savings,Yes,Essential,Zomato,15000.0,Rent transaction #1560,None,2025,4,Apr,Q2,Tuesday,False
TXN100131,2024-07-04,Expense,Uncategorized,General,7226.12,Unknown,Cash Wallet,Yes,Discretionary,Local Store,0.0,Misc transaction #131,one-time,2024,7,Jul,Q3,Thursday,False
TXN102432,2025-09-10,Expense,Rent,Housing,7141.21,UPI,Cash Wallet,Yes,Essential,Netflix,15000.0,Rent transaction #2432,review,2025,9,Sep,Q3,Wednesday,False
TXN101152,2025-06-29,Expense,Insurance,Life,4616.79,Debit Card,Salary Account,Yes,Essential,BESCOM,2000.0,Insurance transaction #1152,None,2025,6,Jun,Q2,Sunday,False
TXN100273,2024-04-21,Expense,Rent,Housing,3281.77,Net Banking,Credit Card A/C,Yes,Essential,BESCOM,15000.0,Rent transaction #273,None,2024,4,Apr,Q2,Sunday,False
TXN102205,2024-01-16,Expense,Education,Courses,823.68,Net Banking,Cash Wallet,No,Discretionary,Local Store,4000.0,Education transaction #2205,one-time,2024,1,Jan,Q1,Tuesday,False
TXN101464,2024-02-19,Expense,Transport,Fuel,5065.45,Credit Card,Cash Wallet,Yes,Discretionary,Swiggy,4000.0,Transport transaction #1464,None,2024,2,Feb,Q1,Monday,False
TXN100611,2025-11-07,Expense,Uncategorized,General,3754.87,Debit Card,Cash Wallet,No,Discretionary,Landlord,0.0,Misc transaction #611,reimbursable,2025,11,Nov,Q4,Friday,False
TXN100111,2024-12-13,Expense,Rent,Housing,3236.24,Credit Card,Primary Savings,Yes,Essential,Zomato,15000.0,Rent transaction #111,one-time,2024,12,Dec,Q4,Friday,False
TXN100048,2025-08-21,Expense,Food,Snacks,96.87,Debit Card,Credit Card A/C,No,Discretionary,Local Store,8000.0,Food transaction #48,reimbursable,2025,8,Aug,Q3,Thursday,False
TXN101843,2025-11-06,Expense,Uncategorized,General,4016.29,Cash,Cash Wallet,No,Discretionary,Landlord,0.0,Misc transaction #1843,None,2025,11,Nov,Q4,Thursday,False
TXN101354,2024-09-04,Expense,Entertainment,Events,3726.12,Cash,Salary Account,Yes,Discretionary,Unknown Merchant,2500.0,Entertainment transaction #1354,None,2024,9,Sep,Q3,Wednesday,False
TXN100278,2025-03-30,Expense,Food,Dining Out,7541.13,UPI,Salary Account,No,Discretionary,Unknown Merchant,0.0,food transaction #278,review,2025,3,Mar,Q1,Sunday,False
TXN102207,2025-12-24,Expense,Food,Dining Out,1518.26,UPI,Salary Account,No,Discretionary,Uber,8000.0,Food transaction #2207,None,2025,12,Dec,Q4,Wednesday,False
TXN101915,2025-02-16,Expense,Groceries,Groceries,76.7,Net Banking,Primary Savings,Yes,Essential,Netflix,6000.0,Groceries transaction #1915,None,2025,2,Feb,Q1,Sunday,False
TXN101794,2024-08-13,Expense,Rent,Housing,6864.38,Credit Card,Salary Account,Yes,Essential,Zomato,15000.0,Rent transaction #1794,None,2024,8,Aug,Q3,Tuesday,False
TXN101573,2025-01-15,Expense,Rent,Housing,6740.55,Credit Card,Credit Card A/C,Yes,Essential,Apollo Pharmacy,15000.0,Rent transaction #1573,reimbursable,2025,1,Jan,Q1,Wednesday,False
TXN100363,2024-12-05,Expense,Utilities,Electricity,4965.33,Cash,Primary Savings,Yes,Essential,Freelance Client,3000.0,Utilities transaction #363,review,2024,12,Dec,Q4,Thursday,False
TXN102084,2024-05-11,Expense,Entertainment,Movies,7084.6,Unknown,Cash Wallet,No,Discretionary,Uber,2500.0,Entertainment transaction #2084,None,2024,5,May,Q2,Saturday,False
TXN101406,2025-09-09,Expense,Food,Dining Out,7798.38,Debit Card,Credit Card A/C,Yes,Discretionary,Swiggy,0.0,food transaction #1406,None,2025,9,Sep,Q3,Tuesday,False
TXN102442,2024-01-15,Income,Gift,General,26991.46,Bank Transfer,Salary Account,No,N/A,Netflix,0.0,Gift transaction #2442,reimbursable,2024,1,Jan,Q1,Monday,False
TXN101711,2025-01-10,Expense,Entertainment,Streaming,7263.92,Cash,Primary Savings,No,Discretionary,BESCOM,2500.0,Entertainment transaction #1711,None,2025,1,Jan,Q1,Friday,False
TXN101935,2024-07-06,Expense,Food,Snacks,3375.53,Cash,Credit Card A/C,No,Discretionary,Swiggy,8000.0,Food transaction #1935,None,2024,7,Jul,Q3,Saturday,False
TXN101250,2024-10-13,Expense,Food,Dining Out,1376.71,Unknown,Salary Account,No,Discretionary,Netflix,8000.0,Food transaction #1250,None,2024,10,Oct,Q4,Sunday,False
TXN101199,2024-04-08,Expense,Uncategorized,General,5681.41,Net Banking,Credit Card A/C,Yes,Discretionary,Employer,0.0,Misc transaction #1199,review,2024,4,Apr,Q2,Monday,False
TXN101314,2025-08-01,Expense,Education,Tuition,2062.97,UPI,Cash Wallet,Yes,Discretionary,Apollo Pharmacy,4000.0,Education transaction #1314,None,2025,8,Aug,Q3,Friday,False
TXN100142,2024-06-28,Expense,Insurance,Health,3854.32,Credit Card,Salary Account,Yes,Essential,Zomato,2000.0,Insurance transaction #142,None,2024,6,Jun,Q2,Friday,False
TXN101146,2025-11-24,Expense,Utilities,Water,7464.82,Credit Card,Primary Savings,No,Essential,Local Store,3000.0,Utilities transaction #1146,None,2025,11,Nov,Q4,Monday,False
TXN101111,2024-10-20,Expense,Healthcare,Pharmacy,1462.13,Debit Card,Primary Savings,No,Essential,Apollo Pharmacy,3000.0,Healthcare transaction #1111,None,2024,10,Oct,Q4,Sunday,False
TXN101904,2024-07-03,Expense,Food,Groceries,3394.3,Unknown,Credit Card A/C,No,Discretionary,Zomato,8000.0,Food transaction #1904,one-time,2024,7,Jul,Q3,Wednesday,False
TXN102348,2024-05-23,Expense,Insurance,Vehicle,580.9,Net Banking,Credit Card A/C,Yes,Essential,Apollo Pharmacy,2000.0,Insurance transaction #2348,one-time,2024,5,May,Q2,Thursday,False
TXN100240,2025-07-16,Expense,Groceries,Groceries,4367.69,Debit Card,Primary Savings,No,Essential,Landlord,6000.0,Groceries transaction #240,review,2025,7,Jul,Q3,Wednesday,False
TXN101569,2024-02-25,Expense,Entertainment,Events,1884.91,Cash,Credit Card A/C,Yes,Discretionary,Swiggy,2500.0,Entertainment transaction #1569,review,2024,2,Feb,Q1,Sunday,False
TXN101462,2024-09-01,Expense,Transport,Fuel,6600.3,Credit Card,Credit Card A/C,No,Discretionary,Unknown Merchant,4000.0,Transport transaction #1462,None,2024,9,Sep,Q3,Sunday,False
TXN102477,2024-02-04,Expense,Entertainment,Streaming,4074.61,Credit Card,Credit Card A/C,No,Discretionary,Uber,2500.0,Entertainment transaction #2477,None,2024,2,Feb,Q1,Sunday,False
TXN100060,2025-10-23,Expense,Healthcare,Pharmacy,1811.69,Unknown,Salary Account,No,Essential,Freelance Client,3000.0,Healthcare transaction #60,reimbursable,2025,10,Oct,Q4,Thursday,False
TXN100842,2025-07-03,Expense,Food,Dining Out,3542.89,Credit Card,Credit Card A/C,No,Discretionary,Amazon,0.0,food transaction #842,None,2025,7,Jul,Q3,Thursday,False
TXN101405,2025-06-27,Expense,Healthcare,Doctor Visit,3284.62,UPI,Credit Card A/C,No,Essential,Swiggy,3000.0,Healthcare transaction #1405,reimbursable,2025,6,Jun,Q2,Friday,False
TXN101799,2025-04-30,Expense,Rent,Housing,4559.55,UPI,Cash Wallet,Yes,Essential,Zomato,15000.0,Rent transaction #1799,None,2025,4,Apr,Q2,Wednesday,False
TXN101887,2024-01-15,Expense,Food,Groceries,4860.09,Net Banking,Primary Savings,No,Discretionary,BESCOM,0.0,food transaction #1887,one-time,2024,1,Jan,Q1,Monday,False
TXN101731,2024-11-27,Expense,Transport,Cab,69506.01,UPI,Primary Savings,No,Discretionary,Swiggy,4000.0,Transport transaction #1731,None,2024,11,Nov,Q4,Wednesday,True
TXN101684,2025-09-20,Expense,Transport,Public Transit,4942.22,Credit Card,Credit Card A/C,No,Discretionary,BESCOM,4000.0,Transport transaction #1684,None,2025,9,Sep,Q3,Saturday,False
TXN101125,2025-06-04,Expense,Education,Books,7205.03,Debit Card,Salary Account,No,Discretionary,Landlord,4000.0,Education transaction #1125,one-time,2025,6,Jun,Q2,Wednesday,False
TXN101986,2025-02-11,Expense,Entertainment,Streaming,7053.76,Net Banking,Credit Card A/C,Yes,Discretionary,Unknown Merchant,2500.0,Entertainment transaction #1986,None,2025,2,Feb,Q1,Tuesday,False
TXN102139,2025-05-24,Expense,Insurance,Life,5735.3,Unknown,Cash Wallet,Yes,Essential,Zomato,2000.0,Insurance transaction #2139,reimbursable,2025,5,May,Q2,Saturday,False
TXN100529,2024-06-03,Expense,Entertainment,Movies,5621.16,Cash,Salary Account,Yes,Discretionary,Uber,2500.0,Entertainment transaction #529,reimbursable,2024,6,Jun,Q2,Monday,False
TXN100707,2025-01-29,Expense,Utilities,Electricity,4447.31,UPI,Cash Wallet,Yes,Essential,Local Store,3000.0,Utilities transaction #707,None,2025,1,Jan,Q1,Wednesday,False
TXN100014,2024-05-08,Income,Bonus,General,86279.41,Bank Transfer,Salary Account,No,N/A,Swiggy,0.0,Bonus transaction #14,one-time,2024,5,May,Q2,Wednesday,False
TXN102012,2025-01-17,Income,Gift,General,47425.31,Bank Transfer,Salary Account,No,N/A,Landlord,0.0,Gift transaction #2012,None,2025,1,Jan,Q1,Friday,False
TXN100204,2025-01-14,Expense,Food,Snacks,5942.96,UPI,Credit Card A/C,No,Discretionary,Netflix,8000.0,Food transaction #204,one-time,2025,1,Jan,Q1,Tuesday,False
TXN100827,2025-01-23,Income,Gift,General,37324.84,Bank Transfer,Salary Account,No,N/A,Netflix,0.0,Gift transaction #827,reimbursable,2025,1,Jan,Q1,Thursday,False
TXN101835,2025-07-18,Expense,Groceries,Groceries,6844.15,UPI,Credit Card A/C,No,Essential,BESCOM,6000.0,Groceries transaction #1835,one-time,2025,7,Jul,Q3,Friday,False
TXN100084,2025-06-30,Expense,Entertainment,Events,6087.24,Net Banking,Primary Savings,Yes,Discretionary,BESCOM,2500.0,Entertainment transaction #84,None,2025,6,Jun,Q2,Monday,False
TXN102160,2024-06-21,Expense,Shopping,Clothing,2916.73,Net Banking,Cash Wallet,No,Discretionary,Swiggy,5000.0,Shopping transaction #2160,None,2024,6,Jun,Q2,Friday,False
TXN100958,2024-12-21,Expense,Food,Dining Out,1219.69,Unknown,Salary Account,No,Discretionary,Employer,8000.0,Food transaction #958,one-time,2024,12,Dec,Q4,Saturday,False
TXN100504,2024-02-17,Income,Investment,General,21573.62,Bank Transfer,Salary Account,No,N/A,Netflix,0.0,Investment transaction #504,None,2024,2,Feb,Q1,Saturday,False
TXN101228,2025-12-11,Expense,Transport,Cab,3532.96,Credit Card,Cash Wallet,Yes,Discretionary,Freelance Client,4000.0,Transport transaction #1228,None,2025,12,Dec,Q4,Thursday,False
TXN100230,2025-06-17,Expense,Healthcare,Pharmacy,5589.27,Debit Card,Primary Savings,No,Essential,Amazon,3000.0,Healthcare transaction #230,None,2025,6,Jun,Q2,Tuesday,False
TXN101298,2024-01-25,Expense,Transport,Fuel,6492.31,Unknown,Primary Savings,No,Discretionary,Landlord,4000.0,Transport transaction #1298,None,2024,1,Jan,Q1,Thursday,False
TXN102389,2025-11-23,Expense,Rent,Housing,1871.76,Net Banking,Primary Savings,Yes,Essential,Netflix,15000.0,Rent transaction #2389,None,2025,11,Nov,Q4,Sunday,False
TXN102109,2024-01-17,Expense,Food,Snacks,3144.85,Unknown,Credit Card A/C,Yes,Discretionary,Netflix,0.0,food transaction #2109,None,2024,1,Jan,Q1,Wednesday,False
TXN101907,2025-07-03,Expense,Food,Groceries,4346.92,Cash,Credit Card A/C,No,Discretionary,Netflix,0.0,food transaction #1907,reimbursable,2025,7,Jul,Q3,Thursday,False
TXN101463,2024-04-14,Income,Gift,General,51832.07,Bank Transfer,Salary Account,No,N/A,Apollo Pharmacy,0.0,Gift transaction #1463,reimbursable,2024,4,Apr,Q2,Sunday,False
TXN102337,2024-09-24,Expense,Entertainment,Events,4472.63,Credit Card,Salary Account,No,Discretionary,Netflix,2500.0,Entertainment transaction #2337,None,2024,9,Sep,Q3,Tuesday,False
TXN100587,2025-05-01,Expense,Education,Books,7682.76,Cash,Primary Savings,Yes,Discretionary,Local Store,4000.0,Education transaction #587,None,2025,5,May,Q2,Thursday,False
TXN101991,2025-08-01,Expense,Rent,Housing,6184.6,Debit Card,Credit Card A/C,Yes,Essential,BESCOM,15000.0,Rent transaction #1991,reimbursable,2025,8,Aug,Q3,Friday,False
TXN100956,2025-11-26,Expense,Healthcare,Insurance Premium,7287.1,Debit Card,Credit Card A/C,No,Essential,Employer,3000.0,Healthcare transaction #956,None,2025,11,Nov,Q4,Wednesday,False
TXN100711,2024-08-05,Expense,Education,Books,5926.5,Net Banking,Primary Savings,No,Discretionary,Zomato,4000.0,Education transaction #711,None,2024,8,Aug,Q3,Monday,False
TXN101532,2025-03-14,Expense,Entertainment,Events,6348.75,Cash,Cash Wallet,No,Discretionary,Netflix,2500.0,Entertainment transaction #1532,review,2025,3,Mar,Q1,Friday,False
