Transaction ID,Date,Type,Category,Subcategory,Amount,Payment Mode,Account,Recurring,Necessity,Merchant,Budget Limit,Description,Tags
TXN100137,2025-12-23,Expense,Groceries,Groceries,201.08,Credit Card,Salary Account,No,Essential,Zomato,6000.0,Groceries transaction #137,
TXN100649,2025-04-26,Expense,Subscriptions,SaaS Tools,7961.85,Cash,Primary Savings,Yes,Discretionary,Apollo Pharmacy,1500.0,Subscriptions transaction #649,one-time
TXN102420,2024-08-16,Expense,Food,Dining Out,5955.47,,Salary Account,Yes,Discretionary,Zomato,8000.0,Food transaction #2420,reimbursable
TXN100990,2025-05-23,Expense,Insurance,Health,₹2462.18,Credit Card,Primary Savings,Yes,Essential,Amazon,2000.0,Insurance transaction #990,
TXN100606,2025-02-09,Expense,Insurance,Vehicle,1189.77,Cash,Primary Savings,Yes,Essential,,2000.0,Insurance transaction #606,
TXN100347,2024-10-25,Expense,Entertainment,Events,7180.17,Cash,Salary Account,No,Discretionary,Zomato,2500.0,Entertainment transaction #347,
TXN101200,2025-10-22,Expense,Transport,Cab,6701.08,Cash,Cash Wallet,No,Discretionary,Employer,4000.0,Transport transaction #1200,
TXN100286,2025-07-09,Expense,Healthcare,Pharmacy,1899.36,Credit Card,Primary Savings,No,Essential,Amazon,3000.0,Healthcare transaction #286,
TXN100263,2024-12-09,Expense,Utilities,Internet,5712.97,Net Banking,Primary Savings,No,Essential,Apollo Pharmacy,3000.0,Utilities transaction #263,reimbursable
TXN101519,2025-01-25,Expense,Entertainment,Events,354.61,,Primary Savings,Yes,Discretionary,Netflix,2500.0,Entertainment transaction #1519,review
TXN101566,2025-11-01,Income,Freelance,,70097.13,Bank Transfer,Salary Account,No,,Employer,,Freelance transaction #1566,review
TXN102262,2024-09-25,Expense,Education,Books,₹2338.3,,Salary Account,Yes,Discretionary,Swiggy,4000.0,Education transaction #2262,reimbursable
TXN101967,2024-02-07,Expense,Healthcare,Pharmacy,1668.41,Net Banking,Cash Wallet,Yes,Essential,Uber,3000.0,Healthcare transaction #1967,review
TXN101626,2024-06-28,Expense,food,Snacks,6021.87,Net Banking,Credit Card A/C,No,Discretionary,Uber,,food transaction #1626,
TXN101596,2024-04-30,Expense,,,4668.75,UPI,Credit Card A/C,No,Discretionary,Amazon,,Misc transaction #1596,
TXN102239,2025-03-03,Expense,Shopping,Home Goods,5996.52,UPI,Primary Savings,Yes,Discretionary,Netflix,5000.0,Shopping transaction #2239,
TXN102342,2025-11-13,Expense,,,733.83,UPI,Credit Card A/C,No,Discretionary,BESCOM,,Misc transaction #2342,
TXN101994,2025-09-25,Expense,Transport,Cab,6379.91,,Primary Savings,Yes,Discretionary,Local Store,4000.0,Transport transaction #1994,reimbursable
TXN101075,2024-05-15,Expense,Shopping,Home Goods,2267.76,Net Banking,Credit Card A/C,No,Discretionary,BESCOM,5000.0,Shopping transaction #1075,
TXN100904,2025-09-03,Expense,Subscriptions,Memberships,1199.71,,Credit Card A/C,Yes,Discretionary,Amazon,1500.0,Subscriptions transaction #904,
TXN100018,2025-08-07,Expense,Transport,Cab,1563.76,UPI,Cash Wallet,No,Discretionary,Local Store,4000.0,Transport transaction #18,
TXN101637,2025-05-07,Expense,Rent,Housing,6725.98,,Salary Account,Yes,Essential,Netflix,15000.0,Rent transaction #1637,
TXN100140,2025-07-21,Income,Bonus,,23047.41,Bank Transfer,Salary Account,No,,Local Store,,Bonus transaction #140,
TXN101460,2025-06-01,Expense,Food,Groceries,2978.56,Net Banking,Salary Account,No,Discretionary,Uber,8000.0,Food transaction #1460,reimbursable
TXN101924,2025-12-06,Expense,Rent,Housing,4791.88,Debit Card,Primary Savings,Yes,Essential,Swiggy,15000.0,Rent transaction #1924,
TXN102022,2024-04-02,Expense,Shopping,Home Goods,1822.3,UPI,Salary Account,Yes,Discretionary,Local Store,5000.0,Shopping transaction #2022,reimbursable
TXN100184,2024-11-05,Expense,Groceries,Groceries,2908.44,Credit Card,Primary Savings,Yes,Essential,Apollo Pharmacy,6000.0,Groceries transaction #184,reimbursable
TXN100062,2024-05-02,Expense,,,1572.75,,Cash Wallet,No,Discretionary,,,Misc transaction #62,reimbursable
TXN101335,2024-09-15,Income,Bonus,,₹76918.02,Bank Transfer,Salary Account,No,,Local Store,,Bonus transaction #1335,
TXN102326,2025-04-28,Income,Salary,,64723.6,Bank Transfer,Salary Account,Yes,,Employer,,Salary transaction #2326,review
TXN100426,2024-02-25,Income,Bonus,,56678.8,Bank Transfer,Salary Account,No,,Zomato,,Bonus transaction #426,
TXN101381,2024-04-20,Expense,Rent,Housing,2295.68,Debit Card,Credit Card A/C,Yes,Essential,Employer,15000.0,Rent transaction #1381,one-time
TXN101805,2024-06-09,Income,Salary,,32374.62,Bank Transfer,Salary Account,Yes,,Employer,,Salary transaction #1805,
TXN101950,2025-10-05,Income,Freelance,,87074.31,Bank Transfer,Salary Account,No,,Uber,,Freelance transaction #1950,review
TXN102097,2024-05-02,Income,Bonus,,22264.4,Bank Transfer,Salary Account,No,,Apollo Pharmacy,,Bonus transaction #2097,
TXN102145,2025-04-05,Expense,Shopping,Electronics,5340.8,Net Banking,Cash Wallet,No,Discretionary,Uber,5000.0,Shopping transaction #2145,one-time
TXN100232,2024-12-04,Expense,Healthcare,Pharmacy,5056.59,Credit Card,Cash Wallet,No,Essential,Amazon,3000.0,Healthcare transaction #232,one-time
TXN100916,2024-11-26,Expense,food,Groceries,5049.71,Net Banking,Salary Account,Yes,Discretionary,Employer,,food transaction #916,
TXN102203,2025-10-28,Expense,food,Snacks,5602.0,Debit Card,Primary Savings,Yes,Discretionary,Zomato,,food transaction #2203,
TXN102034,2024-05-14,Expense,Shopping,Clothing,₹7400.7,UPI,Credit Card A/C,No,Discretionary,,5000.0,Shopping transaction #2034,reimbursable
TXN100112,2025-04-09,Expense,Entertainment,Streaming,6225.84,Net Banking,Primary Savings,Yes,Discretionary,Swiggy,2500.0,Entertainment transaction #112,review
TXN101812,2025-08-04,Expense,Subscriptions,Streaming,6908.47,Cash,Salary Account,Yes,Discretionary,Local Store,1500.0,Subscriptions transaction #1812,reimbursable
TXN100748,2025-07-10,Expense,Food,Dining Out,2805.73,Cash,Cash Wallet,Yes,Discretionary,Apollo Pharmacy,8000.0,Food transaction #748,
TXN102069,2025-07-15,Expense,Entertainment,Events,6928.03,Cash,Cash Wallet,No,Discretionary,Apollo Pharmacy,2500.0,Entertainment transaction #2069,one-time
TXN100886,2024-07-11,Expense,Insurance,Life,726.06,Net Banking,Primary Savings,Yes,Essential,Employer,2000.0,Insurance transaction #886,
TXN102489,2025-07-04,Expense,Insurance,Vehicle,3279.98,Debit Card,Cash Wallet,Yes,Essential,Apollo Pharmacy,2000.0,Insurance transaction #2489,
TXN102005,2024-04-12,Expense,food,Dining Out,6738.46,Net Banking,Cash Wallet,No,Discretionary,Employer,,food transaction #2005,one-time
TXN100418,2025-01-08,Expense,Utilities,Water,1092.56,Net Banking,Salary Account,Yes,Essential,,3000.0,Utilities transaction #418,one-time
TXN101452,2025-02-20,Expense,Shopping,Home Goods,4488.19,Net Banking,Credit Card A/C,Yes,Discretionary,Employer,5000.0,Shopping transaction #1452,reimbursable
TXN100515,2024-12-16,Expense,Transport,Fuel,669.26,,Cash Wallet,Yes,Discretionary,Employer,4000.0,Transport transaction #515,
TXN101857,2024-08-02,Expense,Rent,Housing,₹5051.38,Cash,Credit Card A/C,Yes,Essential,Uber,15000.0,Rent transaction #1857,reimbursable
TXN100079,2024-05-19,Expense,Utilities,Water,6312.35,Debit Card,Primary Savings,No,Essential,,3000.0,Utilities transaction #79,review
TXN102048,2025-03-25,Expense,Entertainment,Streaming,4267.49,Debit Card,Salary Account,No,Discretionary,Freelance Client,2500.0,Entertainment transaction #2048,review
TXN100776,2025-06-17,Expense,Shopping,Home Goods,6016.88,Credit Card,Credit Card A/C,No,Discretionary,BESCOM,5000.0,Shopping transaction #776,review
TXN100463,2025-12-02,Expense,food,Groceries,3417.15,Debit Card,Salary Account,No,Discretionary,Uber,,food transaction #463,
TXN101850,2025-01-09,Expense,Entertainment,Movies,6997.07,,Credit Card A/C,Yes,Discretionary,Apollo Pharmacy,2500.0,Entertainment transaction #1850,review
TXN102411,2024-05-25,Expense,Entertainment,Streaming,₹963.33,Credit Card,Cash Wallet,No,Discretionary,Apollo Pharmacy,2500.0,Entertainment transaction #2411,review
TXN101062,2025-11-11,Expense,Utilities,Internet,1964.14,Cash,Cash Wallet,No,Essential,,3000.0,Utilities transaction #1062,reimbursable
TXN101560,2025-04-22,Expense,Rent,Housing,6182.45,,Primary Savings,Yes,Essential,Zomato,15000.0,Rent transaction #1560,
TXN100131,2024-07-04,Expense,,,7226.12,,Cash Wallet,Yes,Discretionary,Local Store,,Misc transaction #131,one-time
TXN102432,2025-09-10,Expense,Rent,Housing,₹7141.21,UPI,Cash Wallet,Yes,Essential,Netflix,15000.0,Rent transaction #2432,review
TXN101152,2025-06-29,Expense,Insurance,Life,4616.79,Debit Card,Salary Account,Yes,Essential,BESCOM,2000.0,Insurance transaction #1152,
TXN100273,2024-04-21,Expense,Rent,Housing,3281.77,Net Banking,Credit Card A/C,Yes,Essential,BESCOM,15000.0,Rent transaction #273,
TXN102205,2024-01-16,Expense,Education,Courses,823.68,Net Banking,Cash Wallet,No,Discretionary,Local Store,4000.0,Education transaction #2205,one-time
TXN101464,2024-02-19,Expense,Transport,Fuel,5065.45,Credit Card,Cash Wallet,Yes,Discretionary,Swiggy,4000.0,Transport transaction #1464,
TXN100611,2025-11-07,Expense,,,3754.87,Debit Card,Cash Wallet,No,Discretionary,Landlord,,Misc transaction #611,reimbursable
TXN100111,2024-12-13,Expense,Rent,Housing,3236.24,Credit Card,Primary Savings,Yes,Essential,Zomato,15000.0,Rent transaction #111,one-time
TXN100048,2025-08-21,Expense,Food,Snacks,96.87,Debit Card,Credit Card A/C,No,Discretionary,Local Store,8000.0,Food transaction #48,reimbursable
TXN101843,2025-11-06,Expense,,,4016.29,Cash,Cash Wallet,No,Discretionary,Landlord,,Misc transaction #1843,
TXN101354,2024-09-04,Expense,Entertainment,Events,3726.12,Cash,Salary Account,Yes,Discretionary,,2500.0,Entertainment transaction #1354,
TXN100278,2025-03-30,Expense,food,Dining Out,7541.13,UPI,Salary Account,No,Discretionary,,,food transaction #278,review
TXN102207,2025-12-24,Expense,Food,Dining Out,1518.26,UPI,Salary Account,No,Discretionary,Uber,8000.0,Food transaction #2207,
TXN101915,2025-02-16,Expense,Groceries,Groceries,76.7,Net Banking,Primary Savings,Yes,Essential,Netflix,6000.0,Groceries transaction #1915,
TXN101794,2024-08-13,Expense,Rent,Housing,6864.38,Credit Card,Salary Account,Yes,Essential,Zomato,15000.0,Rent transaction #1794,
TXN101573,2025-01-15,Expense,Rent,Housing,6740.55,Credit Card,Credit Card A/C,Yes,Essential,Apollo Pharmacy,15000.0,Rent transaction #1573,reimbursable
TXN100363,2024-12-05,Expense,Utilities,Electricity,4965.33,Cash,Primary Savings,Yes,Essential,Freelance Client,3000.0,Utilities transaction #363,review
TXN102084,2024-05-11,Expense,Entertainment,Movies,₹7084.6,,Cash Wallet,No,Discretionary,Uber,2500.0,Entertainment transaction #2084,
TXN101406,2025-09-09,Expense,food,Dining Out,7798.38,Debit Card,Credit Card A/C,Yes,Discretionary,Swiggy,,food transaction #1406,
TXN102442,2024-01-15,Income,Gift,,26991.46,Bank Transfer,Salary Account,No,,Netflix,,Gift transaction #2442,reimbursable
TXN101711,2025-01-10,Expense,Entertainment,Streaming,7263.92,Cash,Primary Savings,No,Discretionary,BESCOM,2500.0,Entertainment transaction #1711,
TXN101935,2024-07-06,Expense,Food,Snacks,3375.53,Cash,Credit Card A/C,No,Discretionary,Swiggy,8000.0,Food transaction #1935,
TXN101250,2024-10-13,Expense,Food,Dining Out,1376.71,,Salary Account,No,Discretionary,Netflix,8000.0,Food transaction #1250,
TXN101199,2024-04-08,Expense,,,5681.41,Net Banking,Credit Card A/C,Yes,Discretionary,Employer,,Misc transaction #1199,review
TXN101314,2025-08-01,Expense,Education,Tuition,2062.97,UPI,Cash Wallet,Yes,Discretionary,Apollo Pharmacy,4000.0,Education transaction #1314,
TXN100142,2024-06-28,Expense,Insurance,Health,3854.32,Credit Card,Salary Account,Yes,Essential,Zomato,2000.0,Insurance transaction #142,
TXN101146,2025-11-24,Expense,Utilities,Water,7464.82,Credit Card,Primary Savings,No,Essential,Local Store,3000.0,Utilities transaction #1146,
TXN101111,2024-10-20,Expense,Healthcare,Pharmacy,1462.13,Debit Card,Primary Savings,No,Essential,Apollo Pharmacy,3000.0,Healthcare transaction #1111,
TXN101904,2024-07-03,Expense,Food,Groceries,3394.3,,Credit Card A/C,No,Discretionary,Zomato,8000.0,Food transaction #1904,one-time
TXN102348,2024-05-23,Expense,Insurance,Vehicle,580.9,Net Banking,Credit Card A/C,Yes,Essential,Apollo Pharmacy,2000.0,Insurance transaction #2348,one-time
TXN100240,2025-07-16,Expense,Groceries,Groceries,4367.69,Debit Card,Primary Savings,No,Essential,Landlord,6000.0,Groceries transaction #240,review
TXN101569,2024-02-25,Expense,Entertainment,Events,1884.91,Cash,Credit Card A/C,Yes,Discretionary,Swiggy,2500.0,Entertainment transaction #1569,review
TXN101462,2024-09-01,Expense,Transport,Fuel,6600.3,Credit Card,Credit Card A/C,No,Discretionary,,4000.0,Transport transaction #1462,
TXN102477,2024-02-04,Expense,Entertainment,Streaming,4074.61,Credit Card,Credit Card A/C,No,Discretionary,Uber,2500.0,Entertainment transaction #2477,
TXN100060,2025-10-23,Expense,Healthcare,Pharmacy,1811.69,,Salary Account,No,Essential,Freelance Client,3000.0,Healthcare transaction #60,reimbursable
TXN100842,2025-07-03,Expense,food,Dining Out,3542.89,Credit Card,Credit Card A/C,No,Discretionary,Amazon,,food transaction #842,
TXN101405,2025-06-27,Expense,Healthcare,Doctor Visit,3284.62,UPI,Credit Card A/C,No,Essential,Swiggy,3000.0,Healthcare transaction #1405,reimbursable
TXN101799,2025-04-30,Expense,Rent,Housing,4559.55,UPI,Cash Wallet,Yes,Essential,Zomato,15000.0,Rent transaction #1799,
TXN101887,2024-01-15,Expense,food,Groceries,4860.09,Net Banking,Primary Savings,No,Discretionary,BESCOM,,food transaction #1887,one-time
TXN101731,2024-11-27,Expense,Transport,Cab,69506.01,UPI,Primary Savings,No,Discretionary,Swiggy,4000.0,Transport transaction #1731,
TXN101684,2025-09-20,Expense,Transport,Public Transit,4942.22,Credit Card,Credit Card A/C,No,Discretionary,BESCOM,4000.0,Transport transaction #1684,
TXN101125,2025-06-04,Expense,Education,Books,7205.03,Debit Card,Salary Account,No,Discretionary,Landlord,4000.0,Education transaction #1125,one-time
TXN101986,2025-02-11,Expense,Entertainment,Streaming,7053.76,Net Banking,Credit Card A/C,Yes,Discretionary,,2500.0,Entertainment transaction #1986,
TXN100564,,Expense,,,6579.27,Cash,Cash Wallet,Yes,Discretionary,Zomato,,Misc transaction #564,review
TXN102139,2025-05-24,Expense,Insurance,Life,5735.3,,Cash Wallet,Yes,Essential,Zomato,2000.0,Insurance transaction #2139,reimbursable
TXN100529,2024-06-03,Expense,Entertainment,Movies,5621.16,Cash,Salary Account,Yes,Discretionary,Uber,2500.0,Entertainment transaction #529,reimbursable
TXN100707,2025-01-29,Expense,Utilities,Electricity,4447.31,UPI,Cash Wallet,Yes,Essential,Local Store,3000.0,Utilities transaction #707,
TXN100014,2024-05-08,Income,Bonus,,86279.41,Bank Transfer,Salary Account,No,,Swiggy,,Bonus transaction #14,one-time
TXN102012,2025-01-17,Income,Gift,,47425.31,Bank Transfer,Salary Account,No,,Landlord,,Gift transaction #2012,
TXN100204,2025-01-14,Expense,Food,Snacks,5942.96,UPI,Credit Card A/C,No,Discretionary,Netflix,8000.0,Food transaction #204,one-time
TXN100827,2025-01-23,Income,Gift,,37324.84,Bank Transfer,Salary Account,No,,Netflix,,Gift transaction #827,reimbursable
TXN101835,2025-07-18,Expense,Groceries,Groceries,₹6844.15,UPI,Credit Card A/C,No,Essential,BESCOM,6000.0,Groceries transaction #1835,one-time
TXN100084,2025-06-30,Expense,Entertainment,Events,6087.24,Net Banking,Primary Savings,Yes,Discretionary,BESCOM,2500.0,Entertainment transaction #84,
TXN102160,2024-06-21,Expense,Shopping,Clothing,2916.73,Net Banking,Cash Wallet,No,Discretionary,Swiggy,5000.0,Shopping transaction #2160,
TXN100958,2024-12-21,Expense,Food,Dining Out,1219.69,,Salary Account,No,Discretionary,Employer,8000.0,Food transaction #958,one-time
TXN100504,2024-02-17,Income,Investment,,21573.62,Bank Transfer,Salary Account,No,,Netflix,,Investment transaction #504,
TXN101228,2025-12-11,Expense,Transport,Cab,3532.96,Credit Card,Cash Wallet,Yes,Discretionary,Freelance Client,4000.0,Transport transaction #1228,
TXN100230,2025-06-17,Expense,Healthcare,Pharmacy,5589.27,Debit Card,Primary Savings,No,Essential,Amazon,3000.0,Healthcare transaction #230,
TXN101298,2024-01-25,Expense,Transport,Fuel,6492.31,,Primary Savings,No,Discretionary,Landlord,4000.0,Transport transaction #1298,
TXN102389,2025-11-23,Expense,Rent,Housing,1871.76,Net Banking,Primary Savings,Yes,Essential,Netflix,15000.0,Rent transaction #2389,
TXN102109,2024-01-17,Expense,food,Snacks,3144.85,,Credit Card A/C,Yes,Discretionary,Netflix,,food transaction #2109,
TXN101907,2025-07-03,Expense,food,Groceries,4346.92,Cash,Credit Card A/C,No,Discretionary,Netflix,,food transaction #1907,reimbursable
TXN101463,2024-04-14,Income,Gift,,51832.07,Bank Transfer,Salary Account,No,,Apollo Pharmacy,,Gift transaction #1463,reimbursable
TXN102337,2024-09-24,Expense,Entertainment,Events,4472.63,Credit Card,Salary Account,No,Discretionary,Netflix,2500.0,Entertainment transaction #2337,
TXN100587,2025-05-01,Expense,Education,Books,7682.76,Cash,Primary Savings,Yes,Discretionary,Local Store,4000.0,Education transaction #587,
TXN101991,2025-08-01,Expense,Rent,Housing,6184.6,Debit Card,Credit Card A/C,Yes,Essential,BESCOM,15000.0,Rent transaction #1991,reimbursable
TXN100956,2025-11-26,Expense,Healthcare,Insurance Premium,7287.1,Debit Card,Credit Card A/C,No,Essential,Employer,3000.0,Healthcare transaction #956,
TXN100711,2024-08-05,Expense,Education,Books,5926.5,Net Banking,Primary Savings,No,Discretionary,Zomato,4000.0,Education transaction #711,
TXN101532,2025-03-14,Expense,Entertainment,Events,6348.75,Cash,Cash Wallet,No,Discretionary,Netflix,2500.0,Entertainment transaction #1532,review
TXN102392,2025-09-16,Income,Investment,,40496.32,Bank Transfer,Salary Account,No,,Amazon,,Investment transaction #2392,
TXN102094,2024-02-24,Expense,Shopping,Electronics,5772.68,Net Banking,Cash Wallet,Yes,Discretionary,Employer,5000.0,Shopping transaction #2094,review
TXN101454,2024-09-15,Expense,food,Snacks,5921.12,Debit Card,Credit Card A/C,Yes,Discretionary,Landlord,,food transaction #1454,
TXN101664,2024-02-24,Expense,Rent,Housing,₹3725.88,Cash,Credit Card A/C,Yes,Essential,Freelance Client,15000.0,Rent transaction #1664,
TXN101330,2025-09-11,Expense,,,3781.16,UPI,Cash Wallet,No,Discretionary,Landlord,,Misc transaction #1330,
TXN101852,2024-05-07,Expense,Shopping,Clothing,595.75,Credit Card,Salary Account,Yes,Discretionary,Local Store,5000.0,Shopping transaction #1852,reimbursable
TXN100646,2024-02-12,Expense,Utilities,Electricity,7446.1,Cash,Salary Account,Yes,Essential,Uber,3000.0,Utilities transaction #646,
TXN100004,2025-04-15,Expense,Shopping,Clothing,₹6643.77,Net Banking,Credit Card A/C,Yes,Discretionary,,5000.0,Shopping transaction #4,
TXN102289,2025-05-12,Income,Investment,,61004.16,Bank Transfer,Salary Account,No,,Zomato,,Investment transaction #2289,review
TXN101903,2024-08-07,Expense,Utilities,Electricity,5873.92,,Primary Savings,No,Essential,Netflix,3000.0,Utilities transaction #1903,one-time
TXN101196,2025-12-12,Expense,Transport,Fuel,6501.63,Credit Card,Primary Savings,No,Discretionary,BESCOM,4000.0,Transport transaction #1196,one-time
TXN100093,,Expense,Healthcare,Pharmacy,7733.68,,Cash Wallet,No,Essential,Zomato,3000.0,Healthcare transaction #93,reimbursable
TXN101884,2025-05-17,Income,Investment,,82178.62,Bank Transfer,Salary Account,No,,Amazon,,Investment transaction #1884,reimbursable
TXN100891,2025-06-19,Expense,Entertainment,Streaming,2745.21,Debit Card,Cash Wallet,Yes,Discretionary,,2500.0,Entertainment transaction #891,
TXN100037,2025-03-22,Expense,Education,Courses,4633.87,Debit Card,Primary Savings,No,Discretionary,Amazon,4000.0,Education transaction #37,review
TXN101537,2024-11-27,Expense,Food,Snacks,5082.39,Net Banking,Salary Account,Yes,Discretionary,Netflix,8000.0,Food transaction #1537,reimbursable
TXN102162,2025-04-24,Expense,Rent,Housing,7096.51,Debit Card,Credit Card A/C,Yes,Essential,Employer,15000.0,Rent transaction #2162,reimbursable
TXN101873,2024-05-23,Expense,food,Groceries,4101.77,Net Banking,Cash Wallet,Yes,Discretionary,BESCOM,,food transaction #1873,
TXN101355,2024-03-09,Expense,Rent,Housing,4254.7,Cash,Cash Wallet,Yes,Essential,Landlord,15000.0,Rent transaction #1355,reimbursable
TXN102476,2024-07-31,Income,Gift,,24073.22,Bank Transfer,Salary Account,No,,Amazon,,Gift transaction #2476,
TXN102321,2025-06-05,Expense,Rent,Housing,1179.11,Cash,Cash Wallet,Yes,Essential,Uber,15000.0,Rent transaction #2321,
TXN100929,2025-04-21,Expense,Entertainment,Movies,3115.45,Net Banking,Salary Account,Yes,Discretionary,Zomato,2500.0,Entertainment transaction #929,review
TXN100825,2024-09-18,Expense,Insurance,Life,711.87,Debit Card,Cash Wallet,Yes,Essential,,2000.0,Insurance transaction #825,review
TXN101157,2025-01-01,Expense,Entertainment,Streaming,7881.96,Net Banking,Credit Card A/C,No,Discretionary,Netflix,2500.0,Entertainment transaction #1157,
TXN102152,2025-03-19,Expense,Groceries,Groceries,6950.65,Net Banking,Cash Wallet,Yes,Essential,Netflix,6000.0,Groceries transaction #2152,
TXN102497,2024-03-31,Expense,food,Dining Out,2883.05,Credit Card,Primary Savings,Yes,Discretionary,Uber,,food transaction #2497,
TXN101142,2024-02-17,Expense,Shopping,Home Goods,5666.58,Credit Card,Credit Card A/C,No,Discretionary,Amazon,5000.0,Shopping transaction #1142,
TXN101526,2024-07-17,Expense,Groceries,Groceries,7156.24,Net Banking,Primary Savings,Yes,Essential,Apollo Pharmacy,6000.0,Groceries transaction #1526,
TXN100615,2024-09-26,Expense,Shopping,Home Goods,6143.44,Debit Card,Credit Card A/C,Yes,Discretionary,Amazon,5000.0,Shopping transaction #615,
TXN100069,2025-04-09,Income,Freelance,,84673.77,Bank Transfer,Salary Account,No,,Freelance Client,,Freelance transaction #69,
TXN100586,2025-03-30,Expense,Shopping,Electronics,6455.1,Cash,Cash Wallet,Yes,Discretionary,Employer,5000.0,Shopping transaction #586,
TXN100356,2024-04-14,Expense,Insurance,Vehicle,1833.24,,Cash Wallet,Yes,Essential,BESCOM,2000.0,Insurance transaction #356,review
TXN102049,2024-05-30,Expense,Subscriptions,Memberships,648.99,,Primary Savings,Yes,Discretionary,Local Store,1500.0,Subscriptions transaction #2049,
TXN100585,2025-01-16,Income,Investment,,44594.85,Bank Transfer,Salary Account,No,,Apollo Pharmacy,,Investment transaction #585,review
TXN101006,2025-03-30,Expense,Healthcare,Pharmacy,7728.79,Cash,Salary Account,No,Essential,Amazon,3000.0,Healthcare transaction #1006,reimbursable
TXN100601,2025-08-16,Expense,Rent,Housing,593.28,Net Banking,Primary Savings,Yes,Essential,Landlord,15000.0,Rent transaction #601,
TXN102294,2025-05-23,Expense,Groceries,Groceries,₹2759.58,Credit Card,Salary Account,Yes,Essential,Zomato,6000.0,Groceries transaction #2294,
TXN102180,2025-04-02,Expense,Rent,Housing,2455.3,,Credit Card A/C,Yes,Essential,Uber,15000.0,Rent transaction #2180,one-time
TXN101972,2024-07-30,Expense,Transport,Public Transit,7370.73,Cash,Cash Wallet,Yes,Discretionary,Uber,4000.0,Transport transaction #1972,reimbursable
TXN102168,2024-02-29,Expense,Utilities,Water,4887.77,,Cash Wallet,Yes,Essential,Local Store,3000.0,Utilities transaction #2168,
TXN100221,2025-08-31,Expense,Healthcare,Pharmacy,103.8,Cash,Credit Card A/C,No,Essential,Uber,3000.0,Healthcare transaction #221,review
TXN100614,2025-05-14,Expense,Groceries,Groceries,5498.72,Net Banking,Cash Wallet,No,Essential,Landlord,6000.0,Groceries transaction #614,one-time
TXN100784,2025-01-17,Expense,Utilities,Internet,616.31,UPI,Primary Savings,No,Essential,Employer,3000.0,Utilities transaction #784,
TXN100556,2024-04-25,Expense,Insurance,Health,1320.09,UPI,Primary Savings,Yes,Essential,Freelance Client,2000.0,Insurance transaction #556,
TXN101730,2024-01-26,Expense,Shopping,Electronics,6571.83,Credit Card,Cash Wallet,No,Discretionary,Apollo Pharmacy,5000.0,Shopping transaction #1730,review
TXN100739,2024-10-28,Expense,Entertainment,Movies,₹6375.11,Credit Card,Cash Wallet,Yes,Discretionary,,2500.0,Entertainment transaction #739,review
TXN102361,2024-01-05,Expense,Rent,Housing,5646.85,Credit Card,Cash Wallet,Yes,Essential,Landlord,15000.0,Rent transaction #2361,review
